,Unnamed: 0,county,state_name,state_abbrev,zipcode
407,16,St Clair,Alabama,AL,35125
408,16,St Clair,Alabama,AL,35128
409,16,St Clair,Alabama,AL,35131
410,16,St Clair,Alabama,AL,35135
411,16,St Clair,Alabama,AL,35146
412,16,St Clair,Alabama,AL,35182
413,16,St Clair,Alabama,AL,35953
414,16,St Clair,Alabama,AL,35987
415,17,Shelby,Alabama,AL,35007
416,17,Shelby,Alabama,AL,35040
417,17,Shelby,Alabama,AL,35043
418,17,Shelby,Alabama,AL,35051
419,17,Shelby,Alabama,AL,35078
420,17,Shelby,Alabama,AL,35080
421,17,Shelby,Alabama,AL,35114
422,17,Shelby,Alabama,AL,35115
423,17,Shelby,Alabama,AL,35124
424,17,Shelby,Alabama,AL,35137
425,17,Shelby,Alabama,AL,35143
426,17,Shelby,Alabama,AL,35144
427,17,Shelby,Alabama,AL,35147
428,17,Shelby,Alabama,AL,35176
429,17,Shelby,Alabama,AL,35178
430,17,Shelby,Alabama,AL,35185
431,17,Shelby,Alabama,AL,35186
432,17,Shelby,Alabama,AL,35242
433,18,Talladega,Alabama,AL,35014
434,18,Talladega,Alabama,AL,35032
435,18,Talladega,Alabama,AL,35044
436,18,Talladega,Alabama,AL,35096
437,18,Talladega,Alabama,AL,35149
438,18,Talladega,Alabama,AL,35150
439,18,Talladega,Alabama,AL,35151
440,18,Talladega,Alabama,AL,35160
441,18,Talladega,Alabama,AL,35161
442,18,Talladega,Alabama,AL,36268
443,19,Tuscaloosa,Alabama,AL,35111
444,19,Tuscaloosa,Alabama,AL,35401
445,19,Tuscaloosa,Alabama,AL,35402
446,19,Tuscaloosa,Alabama,AL,35403
447,19,Tuscaloosa,Alabama,AL,35404
448,19,Tuscaloosa,Alabama,AL,35405
449,19,Tuscaloosa,Alabama,AL,35406
450,19,Tuscaloosa,Alabama,AL,35407
451,19,Tuscaloosa,Alabama,AL,35440
452,19,Tuscaloosa,Alabama,AL,35444
453,19,Tuscaloosa,Alabama,AL,35446
454,19,Tuscaloosa,Alabama,AL,35449
455,19,Tuscaloosa,Alabama,AL,35452
456,19,Tuscaloosa,Alabama,AL,35453
457,19,Tuscaloosa,Alabama,AL,35456
458,19,Tuscaloosa,Alabama,AL,35457
459,19,Tuscaloosa,Alabama,AL,35458
460,19,Tuscaloosa,Alabama,AL,35463
461,19,Tuscaloosa,Alabama,AL,35468
462,19,Tuscaloosa,Alabama,AL,35473
463,19,Tuscaloosa,Alabama,AL,35475
464,19,Tuscaloosa,Alabama,AL,35476
465,19,Tuscaloosa,Alabama,AL,35478
466,19,Tuscaloosa,Alabama,AL,35480
467,19,Tuscaloosa,Alabama,AL,35482
468,19,Tuscaloosa,Alabama,AL,35485
469,19,Tuscaloosa,Alabama,AL,35486
470,19,Tuscaloosa,Alabama,AL,35487
471,19,Tuscaloosa,Alabama,AL,35490
472,20,Walker,Alabama,AL,35038
473,20,Walker,Alabama,AL,35063
474,20,Walker,Alabama,AL,35130
475,20,Walker,Alabama,AL,35148
476,20,Walker,Alabama,AL,35501
477,20,Walker,Alabama,AL,35502
478,20,Walker,Alabama,AL,35503
479,20,Walker,Alabama,AL,35504
480,20,Walker,Alabama,AL,35549
481,20,Walker,Alabama,AL,35550
482,20,Walker,Alabama,AL,35560
483,20,Walker,Alabama,AL,35573
484,20,Walker,Alabama,AL,35578
485,20,Walker,Alabama,AL,35579
486,20,Walker,Alabama,AL,35580
487,20,Walker,Alabama,AL,35584
488,20,Walker,Alabama,AL,35587
489,21,Apache,Arizona,AZ,85920
490,21,Apache,Arizona,AZ,85924
491,21,Apache,Arizona,AZ,85925
492,21,Apache,Arizona,AZ,85927
493,21,Apache,Arizona,AZ,85930
494,21,Apache,Arizona,AZ,85932
495,21,Apache,Arizona,AZ,85936
496,21,Apache,Arizona,AZ,85938
497,21,Apache,Arizona,AZ,85940
498,21,Apache,Arizona,AZ,86502
499,21,Apache,Arizona,AZ,86503
500,21,Apache,Arizona,AZ,86504
501,21,Apache,Arizona,AZ,86505
502,21,Apache,Arizona,AZ,86506
503,21,Apache,Arizona,AZ,86507
504,21,Apache,Arizona,AZ,86508
505,21,Apache,Arizona,AZ,86511
506,21,Apache,Arizona,AZ,86512
507,21,Apache,Arizona,AZ,86514
508,21,Apache,Arizona,AZ,86515
509,21,Apache,Arizona,AZ,86520
510,21,Apache,Arizona,AZ,86535
511,21,Apache,Arizona,AZ,86538
512,21,Apache,Arizona,AZ,86540
513,21,Apache,Arizona,AZ,86544
